Dec 15 11:24:25 test kernel: [55102.400392] [TRACE_KVM] Buffer & to_replay created
Dec 15 11:24:25 test kernel: [55102.400428] [HAVFUZZ] Opened
Dec 15 11:24:57 test kernel: [55134.202622] [TRACE_KVM] The trarget vcpu is 3
Dec 15 11:24:57 test kernel: [55134.271323] [Trace KVM] Buffer reset
Dec 15 11:24:57 test kernel: [55134.271329] [TRACE_KVM] Buffer size changed
Dec 15 11:24:57 test kernel: [55134.271338] [TRACE_KVM] From_exit set to 0 and exit_before buffer created.
Dec 15 11:24:57 test kernel: [55134.271341] [TRACE_KVM] gran exit set to 0.
Dec 15 11:24:57 test kernel: [55134.271342] [TRACE_KVM] Control_execution set to 1.
Dec 15 11:24:57 test kernel: [55134.271344] [TRACE_KVM] tracing enabled
Dec 15 11:24:57 test kernel: [55134.317135] 0, L1: 1.
Dec 15 11:24:57 test kernel: [55134.351713] 1, L1: 1.
Dec 15 11:24:57 test kernel: [55134.351956] 2, L1: 1.
Dec 15 11:24:57 test kernel: [55134.364849] 3, L1: 1.
Dec 15 11:24:57 test kernel: [55134.364921] 4, L1: 1.
Dec 15 11:24:57 test kernel: [55134.365245] 5, L1: 1.
Dec 15 11:24:57 test kernel: [55134.366848] 6, L1: 1.
Dec 15 11:24:57 test kernel: [55134.419098] 7, L1: 1.
Dec 15 11:24:58 test kernel: [55135.027988] 8, L1: 1.
Dec 15 11:24:58 test kernel: [55135.028084] 9, L1: 1.
Dec 15 11:24:58 test kernel: [55135.028369] 10, L1: 1.
Dec 15 11:24:58 test kernel: [55135.029084] 11, L1: 1.
Dec 15 11:24:58 test kernel: [55135.036976] 12, L1: 1.
Dec 15 11:24:58 test kernel: [55135.038472] 13, L1: 1.
Dec 15 11:24:58 test kernel: [55135.045039] 14, L1: 1.
Dec 15 11:24:58 test kernel: [55135.050598] 15, L1: 1.
Dec 15 11:24:58 test kernel: [55135.051077] 16, L1: 1.
Dec 15 11:24:58 test kernel: [55135.077029] 17, L1: 1.
Dec 15 11:24:58 test kernel: [55135.077167] 18, L1: 1.
Dec 15 11:24:58 test kernel: [55135.093756] 19, L1: 1.
Dec 15 11:24:58 test kernel: [55135.115012] 20, L1: 1.
Dec 15 11:24:58 test kernel: [55135.115595] 21, L1: 1.
Dec 15 11:24:58 test kernel: [55135.117540] 22, L1: 1.
Dec 15 11:24:58 test kernel: [55135.149444] 23, L1: 1.
Dec 15 11:24:58 test kernel: [55135.189214] 24, L1: 1.
Dec 15 11:24:58 test kernel: [55135.204950] 25, L1: 1.
Dec 15 11:24:58 test kernel: [55135.272121] 26, L1: 1.
Dec 15 11:24:58 test kernel: [55135.274036] 27, L1: 1.
Dec 15 11:24:58 test kernel: [55135.274178] 28, L1: 1.
Dec 15 11:24:58 test kernel: [55135.283363] 29, L1: 1.
Dec 15 11:24:58 test kernel: [55135.284078] 30, L1: 1.
Dec 15 11:24:58 test kernel: [55135.284475] 31, L1: 1.
Dec 15 11:24:58 test kernel: [55135.284592] 32, L1: 1.
Dec 15 11:24:58 test kernel: [55135.294261] 33, L1: 1.
Dec 15 11:24:58 test kernel: [55135.294353] 34, L1: 1.
Dec 15 11:24:58 test kernel: [55135.309173] 35, L1: 1.
Dec 15 11:24:58 test kernel: [55135.337370] 36, L1: 1.
Dec 15 11:24:58 test kernel: [55135.372515] 37, L1: 1.
Dec 15 11:24:59 test kernel: [55136.057387] 38, L1: 1.
Dec 15 11:24:59 test kernel: [55136.091495] 39, L1: 1.
Dec 15 11:24:59 test kernel: [55136.125163] 40, L1: 1.
Dec 15 11:24:59 test kernel: [55136.132872] 41, L1: 1.
Dec 15 11:24:59 test kernel: [55136.133146] 42, L1: 1.
Dec 15 11:24:59 test kernel: [55136.133320] 43, L1: 1.
Dec 15 11:24:59 test kernel: [55136.133401] 44, L1: 1.
Dec 15 11:24:59 test kernel: [55136.134528] 45, L1: 1.
Dec 15 11:24:59 test kernel: [55136.134774] 46, L1: 1.
Dec 15 11:24:59 test kernel: [55136.138411] 47, L1: 1.
Dec 15 11:24:59 test kernel: [55136.139458] 48, L1: 1.
Dec 15 11:24:59 test kernel: [55136.139879] 49, L1: 1.
Dec 15 11:24:59 test kernel: [55136.140325] 50, L1: 1.
Dec 15 11:24:59 test kernel: [55136.141022] 51, L1: 1.
Dec 15 11:24:59 test kernel: [55136.141996] 52, L1: 1.
Dec 15 11:24:59 test kernel: [55136.142629] 53, L1: 1.
Dec 15 11:24:59 test kernel: [55136.143951] 54, L1: 1.
Dec 15 11:24:59 test kernel: [55136.143986] 55, L1: 1.
Dec 15 11:24:59 test kernel: [55136.144014] 56, L1: 1.
Dec 15 11:24:59 test kernel: [55136.144039] 57, L1: 1.
Dec 15 11:24:59 test kernel: [55136.144064] 58, L1: 1.
Dec 15 11:24:59 test kernel: [55136.144090] 59, L1: 1.
Dec 15 11:24:59 test kernel: [55136.144116] 60, L1: 1.
Dec 15 11:24:59 test kernel: [55136.144707] 61, L1: 1.
Dec 15 11:24:59 test kernel: [55136.144736] 62, L1: 1.
Dec 15 11:24:59 test kernel: [55136.144762] 63, L1: 1.
Dec 15 11:24:59 test kernel: [55136.154575] 64, L1: 1.
Dec 15 11:24:59 test kernel: [55136.156347] 65, L1: 1.
Dec 15 11:24:59 test kernel: [55136.157524] 66, L1: 1.
Dec 15 11:24:59 test kernel: [55136.157556] 67, L1: 1.
Dec 15 11:24:59 test kernel: [55136.157581] 68, L1: 1.
Dec 15 11:24:59 test kernel: [55136.157606] 69, L1: 1.
Dec 15 11:24:59 test kernel: [55136.157630] 70, L1: 1.
