Dec 18 19:18:56 test kernel: [16871.954652] [TRACE_KVM] Buffer & to_replay created
Dec 18 19:18:56 test kernel: [16871.954685] [HAVFUZZ] Opened
Dec 18 19:19:27 test kernel: [16902.870448] [TRACE_KVM] The trarget vcpu is 3
Dec 18 19:19:27 test kernel: [16902.940014] [Trace KVM] Buffer reset
Dec 18 19:19:27 test kernel: [16902.940020] [TRACE_KVM] Buffer size changed
Dec 18 19:19:27 test kernel: [16902.940027] [TRACE_KVM] From_exit set to 0 and exit_before buffer created.
Dec 18 19:19:27 test kernel: [16902.940029] [TRACE_KVM] gran exit set to 0.
Dec 18 19:19:27 test kernel: [16902.940030] [TRACE_KVM] Control_execution set to 1.
Dec 18 19:19:27 test kernel: [16902.940032] [TRACE_KVM] tracing enabled
Dec 18 19:19:27 test kernel: [16902.959148] 0, L1: 1.
Dec 18 19:19:27 test kernel: [16902.996606] 1, L1: 1.
Dec 18 19:19:27 test kernel: [16903.024357] 2, L1: 1.
Dec 18 19:19:27 test kernel: [16903.065314] 3, L1: 1.
Dec 18 19:19:27 test kernel: [16903.108611] 4, L1: 1.
Dec 18 19:19:27 test kernel: [16903.108831] 5, L1: 1.
Dec 18 19:19:27 test kernel: [16903.110253] 6, L1: 1.
Dec 18 19:19:27 test kernel: [16903.110286] 7, L1: 1.
Dec 18 19:19:27 test kernel: [16903.110317] 8, L1: 1.
Dec 18 19:19:27 test kernel: [16903.110346] 9, L1: 1.
Dec 18 19:19:27 test kernel: [16903.110377] 10, L1: 1.
Dec 18 19:19:27 test kernel: [16903.110406] 11, L1: 1.
Dec 18 19:19:27 test kernel: [16903.110437] 12, L1: 1.
Dec 18 19:19:27 test kernel: [16903.110466] 13, L1: 1.
Dec 18 19:19:27 test kernel: [16903.110496] 14, L1: 1.
Dec 18 19:19:27 test kernel: [16903.110526] 15, L1: 1.
Dec 18 19:19:27 test kernel: [16903.110556] 16, L1: 1.
Dec 18 19:19:27 test kernel: [16903.110585] 17, L1: 1.
Dec 18 19:19:27 test kernel: [16903.110616] 18, L1: 1.
Dec 18 19:19:27 test kernel: [16903.110645] 19, L1: 1.
Dec 18 19:19:27 test kernel: [16903.110675] 20, L1: 1.
Dec 18 19:19:27 test kernel: [16903.110705] 21, L1: 1.
Dec 18 19:19:27 test kernel: [16903.110735] 22, L1: 1.
Dec 18 19:19:27 test kernel: [16903.110764] 23, L1: 1.
Dec 18 19:19:27 test kernel: [16903.110794] 24, L1: 1.
Dec 18 19:19:27 test kernel: [16903.110823] 25, L1: 1.
Dec 18 19:19:27 test kernel: [16903.110853] 26, L1: 1.
Dec 18 19:19:27 test kernel: [16903.110882] 27, L1: 1.
Dec 18 19:19:27 test kernel: [16903.110913] 28, L1: 1.
Dec 18 19:19:27 test kernel: [16903.110942] 29, L1: 1.
Dec 18 19:19:27 test kernel: [16903.110972] 30, L1: 1.
Dec 18 19:19:27 test kernel: [16903.111001] 31, L1: 1.
Dec 18 19:19:27 test kernel: [16903.111031] 32, L1: 1.
Dec 18 19:19:27 test kernel: [16903.111061] 33, L1: 1.
