Dec 18 20:07:54 test kernel: [19809.971685] [TRACE_KVM] Buffer & to_replay created
Dec 18 20:07:54 test kernel: [19809.971720] [HAVFUZZ] Opened
Dec 18 20:08:25 test kernel: [19840.809068] [TRACE_KVM] The trarget vcpu is 3
Dec 18 20:08:25 test kernel: [19840.878040] [Trace KVM] Buffer reset
Dec 18 20:08:25 test kernel: [19840.878045] [TRACE_KVM] Buffer size changed
Dec 18 20:08:25 test kernel: [19840.878052] [TRACE_KVM] From_exit set to 0 and exit_before buffer created.
Dec 18 20:08:25 test kernel: [19840.878055] [TRACE_KVM] gran exit set to 0.
Dec 18 20:08:25 test kernel: [19840.878056] [TRACE_KVM] Control_execution set to 1.
Dec 18 20:08:25 test kernel: [19840.878058] [TRACE_KVM] tracing enabled
Dec 18 20:08:25 test kernel: [19840.897101] 0, L1: 1.
Dec 18 20:08:25 test kernel: [19840.898215] 1, L1: 1.
Dec 18 20:08:25 test kernel: [19840.898248] 2, L1: 1.
Dec 18 20:08:25 test kernel: [19840.898278] 3, L1: 1.
Dec 18 20:08:25 test kernel: [19840.898306] 4, L1: 1.
Dec 18 20:08:25 test kernel: [19840.898334] 5, L1: 1.
Dec 18 20:08:25 test kernel: [19840.898362] 6, L1: 1.
Dec 18 20:08:25 test kernel: [19840.898389] 7, L1: 1.
Dec 18 20:08:25 test kernel: [19840.898969] 8, L1: 1.
Dec 18 20:08:25 test kernel: [19840.904760] 9, L1: 1.
Dec 18 20:08:25 test kernel: [19840.904805] 10, L1: 1.
Dec 18 20:08:25 test kernel: [19840.985070] 11, L1: 1.
Dec 18 20:08:25 test kernel: [19841.013390] 12, L1: 1.
Dec 18 20:08:25 test kernel: [19841.064488] 13, L1: 1.
Dec 18 20:08:25 test kernel: [19841.066768] 14, L1: 1.
Dec 18 20:08:25 test kernel: [19841.087595] 15, L1: 1.
Dec 18 20:08:25 test kernel: [19841.089788] 16, L1: 1.
Dec 18 20:08:25 test kernel: [19841.090717] 17, L1: 1.
Dec 18 20:08:25 test kernel: [19841.105300] 18, L1: 1.
Dec 18 20:08:25 test kernel: [19841.107177] 19, L1: 1.
Dec 18 20:08:25 test kernel: [19841.107208] 20, L1: 1.
Dec 18 20:08:25 test kernel: [19841.107235] 21, L1: 1.
