SEED #1
RD: 	 FIELD(4402), 	 VALUE(20)
RD: 	 FIELD(681e), 	 VALUE(ffffffff8103a7d7)
WR: 	 FIELD(681e), 	 VALUE(ffffffff8103a7d9)
REG: 	 FIELD(RAX), 	 I_VALUE(8fd), O_VALUE(8fd)
REG: 	 FIELD(RBX), 	 I_VALUE(ffff88803fca8e80), O_VALUE(ffff88803fca8e80)
REG: 	 FIELD(RCX), 	 I_VALUE(830), O_VALUE(830)
REG: 	 FIELD(RDX), 	 I_VALUE(2), O_VALUE(2)
REG: 	 FIELD(R8), 	 I_VALUE(ffff8880033a0c01), O_VALUE(ffff8880033a0c01)
REG: 	 FIELD(R9), 	 I_VALUE(0), O_VALUE(0)
REG: 	 FIELD(R10), 	 I_VALUE(ffffc90000aa3d88), O_VALUE(ffffc90000aa3d88)
REG: 	 FIELD(R11), 	 I_VALUE(26cfae5b85), O_VALUE(26cfae5b85)
REG: 	 FIELD(R12), 	 I_VALUE(0), O_VALUE(0)
REG: 	 FIELD(R13), 	 I_VALUE(0), O_VALUE(0)
REG: 	 FIELD(R14), 	 I_VALUE(2da), O_VALUE(2da)
REG: 	 FIELD(R15), 	 I_VALUE(ffff8880058f1000), O_VALUE(ffff8880058f1000)
REG: 	 FIELD(RBP), 	 I_VALUE(ffff88803fca8e80), O_VALUE(ffff88803fca8e80)
REG: 	 FIELD(RSI), 	 I_VALUE(830), O_VALUE(830)
REG: 	 FIELD(RDI), 	 I_VALUE(2000008fd), O_VALUE(2000008fd)
EXIT REASON: MSR_WRITE

SEED #2
RD: 	 FIELD(4402), 	 VALUE(20)
RD: 	 FIELD(681e), 	 VALUE(ffffffff8103a7d7)
WR: 	 FIELD(681e), 	 VALUE(ffffffff8103a7d9)
REG: 	 FIELD(RAX), 	 I_VALUE(8fb), O_VALUE(8fd)
REG: 	 FIELD(RBX), 	 I_VALUE(0), O_VALUE(ffff88803fca8e80)
REG: 	 FIELD(RCX), 	 I_VALUE(830), O_VALUE(830)
REG: 	 FIELD(RDX), 	 I_VALUE(1), O_VALUE(2)
REG: 	 FIELD(R8), 	 I_VALUE(ffff88803fc29a90), O_VALUE(ffff8880033a0c01)
REG: 	 FIELD(R9), 	 I_VALUE(28700), O_VALUE(0)
REG: 	 FIELD(R10), 	 I_VALUE(ffffc90000124950), O_VALUE(ffffc90000aa3d88)
