Dec 15 04:46:00 test kernel: [31197.603993] [TRACE_KVM] Buffer & to_replay created
Dec 15 04:46:00 test kernel: [31197.604027] [HAVFUZZ] Opened
Dec 15 04:46:31 test kernel: [31228.435372] [TRACE_KVM] The trarget vcpu is 3
Dec 15 04:46:31 test kernel: [31228.507317] [Trace KVM] Buffer reset
Dec 15 04:46:31 test kernel: [31228.507323] [TRACE_KVM] Buffer size changed
Dec 15 04:46:31 test kernel: [31228.507332] [TRACE_KVM] From_exit set to 0 and exit_before buffer created.
Dec 15 04:46:31 test kernel: [31228.507334] [TRACE_KVM] gran exit set to 0.
Dec 15 04:46:31 test kernel: [31228.507336] [TRACE_KVM] Control_execution set to 1.
Dec 15 04:46:31 test kernel: [31228.507338] [TRACE_KVM] tracing enabled
Dec 15 04:46:31 test kernel: [31228.524848] 0, L1: 1.
Dec 15 04:46:31 test kernel: [31228.540853] 1, L1: 1.
Dec 15 04:46:31 test kernel: [31228.548851] 2, L1: 1.
Dec 15 04:46:31 test kernel: [31228.587107] 3, L1: 1.
Dec 15 04:46:31 test kernel: [31228.587383] 4, L1: 1.
Dec 15 04:46:31 test kernel: [31228.594575] 5, L1: 1.
Dec 15 04:46:31 test kernel: [31228.597009] 6, L1: 1.
Dec 15 04:46:31 test kernel: [31228.613064] 7, L1: 1.
Dec 15 04:46:31 test kernel: [31228.613098] 8, L1: 1.
Dec 15 04:46:31 test kernel: [31228.613123] 9, L1: 1.
Dec 15 04:46:31 test kernel: [31228.613147] 10, L1: 1.
Dec 15 04:46:31 test kernel: [31228.613171] 11, L1: 1.
Dec 15 04:46:31 test kernel: [31228.613197] 12, L1: 1.
Dec 15 04:46:31 test kernel: [31228.613221] 13, L1: 1.
Dec 15 04:46:31 test kernel: [31228.615199] 14, L1: 1.
Dec 15 04:46:31 test kernel: [31228.615229] 15, L1: 1.
Dec 15 04:46:31 test kernel: [31228.615257] 16, L1: 1.
Dec 15 04:46:31 test kernel: [31228.615624] 17, L1: 1.
Dec 15 04:46:31 test kernel: [31228.622420] 18, L1: 1.
Dec 15 04:46:31 test kernel: [31228.622668] 19, L1: 1.
Dec 15 04:46:31 test kernel: [31228.626431] 20, L1: 1.
