Dec 15 02:26:46 test kernel: [22843.916192] [TRACE_KVM] Buffer & to_replay created
Dec 15 02:26:46 test kernel: [22843.916227] [HAVFUZZ] Opened
Dec 15 02:27:18 test kernel: [22875.420861] [TRACE_KVM] The trarget vcpu is 3
Dec 15 02:27:18 test kernel: [22875.490576] [Trace KVM] Buffer reset
Dec 15 02:27:18 test kernel: [22875.490583] [TRACE_KVM] Buffer size changed
Dec 15 02:27:18 test kernel: [22875.490592] [TRACE_KVM] From_exit set to 0 and exit_before buffer created.
Dec 15 02:27:18 test kernel: [22875.490594] [TRACE_KVM] gran exit set to 0.
Dec 15 02:27:18 test kernel: [22875.490596] [TRACE_KVM] Control_execution set to 1.
Dec 15 02:27:18 test kernel: [22875.490598] [TRACE_KVM] tracing enabled
Dec 15 02:27:18 test kernel: [22875.496843] 0, L1: 1.
Dec 15 02:27:18 test kernel: [22875.525103] 1, L1: 1.
Dec 15 02:27:18 test kernel: [22875.526018] 2, L1: 1.
Dec 15 02:27:18 test kernel: [22875.527856] 3, L1: 1.
Dec 15 02:27:18 test kernel: [22875.532931] 4, L1: 1.
Dec 15 02:27:18 test kernel: [22875.533105] 5, L1: 1.
Dec 15 02:27:18 test kernel: [22875.534411] 6, L1: 1.
Dec 15 02:27:18 test kernel: [22875.534618] 7, L1: 1.
Dec 15 02:27:18 test kernel: [22875.537684] 8, L1: 1.
Dec 15 02:27:18 test kernel: [22875.539716] 9, L1: 1.
Dec 15 02:27:18 test kernel: [22875.539750] 10, L1: 1.
Dec 15 02:27:18 test kernel: [22875.539779] 11, L1: 1.
Dec 15 02:27:18 test kernel: [22875.539807] 12, L1: 1.
Dec 15 02:27:18 test kernel: [22875.539835] 13, L1: 1.
Dec 15 02:27:18 test kernel: [22875.539863] 14, L1: 1.
Dec 15 02:27:18 test kernel: [22875.539891] 15, L1: 1.
Dec 15 02:27:18 test kernel: [22875.540200] 16, L1: 1.
Dec 15 02:27:18 test kernel: [22875.540230] 17, L1: 1.
Dec 15 02:27:18 test kernel: [22875.540258] 18, L1: 1.
Dec 15 02:27:18 test kernel: [22875.572972] 19, L1: 1.
Dec 15 02:27:18 test kernel: [22875.596143] 20, L1: 1.
Dec 15 02:27:18 test kernel: [22875.608841] 21, L1: 1.
Dec 15 02:27:18 test kernel: [22875.609876] 22, L1: 1.
Dec 15 02:27:18 test kernel: [22875.615944] 23, L1: 1.
Dec 15 02:27:18 test kernel: [22875.660871] 24, L1: 1.
Dec 15 02:27:18 test kernel: [22875.669834] 25, L1: 1.
Dec 15 02:27:18 test kernel: [22875.716858] 26, L1: 1.
Dec 15 02:27:18 test kernel: [22875.745715] 27, L1: 1.
Dec 15 02:27:18 test kernel: [22875.746300] 28, L1: 1.
Dec 15 02:27:18 test kernel: [22875.757500] 29, L1: 1.
Dec 15 02:27:18 test kernel: [22875.757687] 30, L1: 1.
Dec 15 02:27:18 test kernel: [22875.768984] 31, L1: 1.
Dec 15 02:27:18 test kernel: [22875.769622] 32, L1: 1.
Dec 15 02:27:18 test kernel: [22875.797442] 33, L1: 1.
Dec 15 02:27:18 test kernel: [22875.797705] 34, L1: 1.
Dec 15 02:27:18 test kernel: [22875.797936] 35, L1: 1.
Dec 15 02:27:18 test kernel: [22875.798475] 36, L1: 1.
Dec 15 02:27:18 test kernel: [22875.800573] 37, L1: 1.
Dec 15 02:27:18 test kernel: [22875.800699] 38, L1: 1.
Dec 15 02:27:18 test kernel: [22875.800794] 39, L1: 1.
Dec 15 02:27:18 test kernel: [22875.832174] 40, L1: 1.
Dec 15 02:27:18 test kernel: [22875.832205] 41, L1: 1.
Dec 15 02:27:18 test kernel: [22875.832232] 42, L1: 1.
Dec 15 02:27:18 test kernel: [22875.832259] 43, L1: 1.
Dec 15 02:27:18 test kernel: [22875.832285] 44, L1: 1.
Dec 15 02:27:18 test kernel: [22875.832516] 45, L1: 1.
Dec 15 02:27:18 test kernel: [22875.832550] 46, L1: 1.
Dec 15 02:27:18 test kernel: [22875.832577] 47, L1: 1.
Dec 15 02:27:18 test kernel: [22875.833101] 48, L1: 1.
Dec 15 02:27:18 test kernel: [22875.873291] 49, L1: 1.
Dec 15 02:27:18 test kernel: [22875.924075] 50, L1: 1.
Dec 15 02:27:18 test kernel: [22875.928560] 51, L1: 1.
Dec 15 02:27:18 test kernel: [22875.943608] 52, L1: 1.
Dec 15 02:27:19 test kernel: [22875.996965] 53, L1: 1.
Dec 15 02:27:19 test kernel: [22876.065143] 54, L1: 1.
Dec 15 02:27:19 test kernel: [22876.216855] 55, L1: 1.
Dec 15 02:27:19 test kernel: [22876.216941] 56, L1: 1.
Dec 15 02:27:19 test kernel: [22876.217319] 57, L1: 1.
Dec 15 02:27:19 test kernel: [22876.217817] 58, L1: 1.
Dec 15 02:27:19 test kernel: [22876.217971] 59, L1: 1.
