Dec 15 05:48:37 test kernel: [34954.355353] [TRACE_KVM] Buffer & to_replay created
Dec 15 05:48:37 test kernel: [34954.355388] [HAVFUZZ] Opened
Dec 15 05:49:09 test kernel: [34986.244482] [TRACE_KVM] The trarget vcpu is 3
Dec 15 05:49:09 test kernel: [34986.314195] [Trace KVM] Buffer reset
Dec 15 05:49:09 test kernel: [34986.314200] [TRACE_KVM] Buffer size changed
Dec 15 05:49:09 test kernel: [34986.314210] [TRACE_KVM] From_exit set to 0 and exit_before buffer created.
Dec 15 05:49:09 test kernel: [34986.314212] [TRACE_KVM] gran exit set to 0.
Dec 15 05:49:09 test kernel: [34986.314213] [TRACE_KVM] Control_execution set to 1.
Dec 15 05:49:09 test kernel: [34986.314215] [TRACE_KVM] tracing enabled
Dec 15 05:49:09 test kernel: [34986.333679] 0, L1: 1.
Dec 15 05:49:09 test kernel: [34986.336048] 1, L1: 1.
Dec 15 05:49:09 test kernel: [34986.336496] 2, L1: 1.
Dec 15 05:49:09 test kernel: [34986.337393] 3, L1: 1.
Dec 15 05:49:09 test kernel: [34986.356839] 4, L1: 1.
Dec 15 05:49:09 test kernel: [34986.361142] 5, L1: 1.
Dec 15 05:49:09 test kernel: [34986.363238] 6, L1: 1.
Dec 15 05:49:09 test kernel: [34986.381636] 7, L1: 1.
Dec 15 05:49:09 test kernel: [34986.424841] 8, L1: 1.
Dec 15 05:49:09 test kernel: [34986.451207] 9, L1: 1.
Dec 15 05:49:09 test kernel: [34986.496842] 10, L1: 1.
Dec 15 05:49:09 test kernel: [34986.528841] 11, L1: 1.
Dec 15 05:49:09 test kernel: [34986.556882] 12, L1: 1.
Dec 15 05:49:09 test kernel: [34986.580896] 13, L1: 1.
Dec 15 05:49:10 test kernel: [34987.062632] 14, L1: 1.
Dec 15 05:49:10 test kernel: [34987.063399] 15, L1: 1.
Dec 15 05:49:10 test kernel: [34987.107834] 16, L1: 1.
Dec 15 05:49:10 test kernel: [34987.108239] 17, L1: 1.
Dec 15 05:49:10 test kernel: [34987.128854] 18, L1: 1.
Dec 15 05:49:10 test kernel: [34987.129265] 19, L1: 1.
Dec 15 05:49:10 test kernel: [34987.129583] 20, L1: 1.
Dec 15 05:49:10 test kernel: [34987.131005] 21, L1: 1.
Dec 15 05:49:10 test kernel: [34987.152975] 22, L1: 1.
Dec 15 05:49:10 test kernel: [34987.169282] 23, L1: 1.
Dec 15 05:49:10 test kernel: [34987.186357] 24, L1: 1.
Dec 15 05:49:10 test kernel: [34987.186465] 25, L1: 1.
Dec 15 05:49:10 test kernel: [34987.255831] 26, L1: 1.
Dec 15 05:49:10 test kernel: [34987.257252] 27, L1: 1.
Dec 15 05:49:10 test kernel: [34987.257624] 28, L1: 1.
Dec 15 05:49:10 test kernel: [34987.257735] 29, L1: 1.
Dec 15 05:49:10 test kernel: [34987.258354] 30, L1: 1.
Dec 15 05:49:10 test kernel: [34987.258608] 31, L1: 1.
Dec 15 05:49:10 test kernel: [34987.258830] 32, L1: 1.
Dec 15 05:49:10 test kernel: [34987.259402] 33, L1: 1.
Dec 15 05:49:10 test kernel: [34987.259724] 34, L1: 1.
Dec 15 05:49:10 test kernel: [34987.259946] 35, L1: 1.
Dec 15 05:49:10 test kernel: [34987.260152] 36, L1: 1.
Dec 15 05:49:10 test kernel: [34987.260516] 37, L1: 1.
Dec 15 05:49:10 test kernel: [34987.260733] 38, L1: 1.
