Dec 19 12:25:13 test kernel: [78448.735792] [TRACE_KVM] Buffer & to_replay created
Dec 19 12:25:13 test kernel: [78448.735827] [HAVFUZZ] Opened
Dec 19 12:25:44 test kernel: [78480.000433] [TRACE_KVM] The trarget vcpu is 3
Dec 19 12:25:44 test kernel: [78480.070162] [Trace KVM] Buffer reset
Dec 19 12:25:44 test kernel: [78480.070169] [TRACE_KVM] Buffer size changed
Dec 19 12:25:44 test kernel: [78480.070174] [TRACE_KVM] From_exit set to 0 and exit_before buffer created.
Dec 19 12:25:44 test kernel: [78480.070177] [TRACE_KVM] gran exit set to 0.
Dec 19 12:25:44 test kernel: [78480.070178] [TRACE_KVM] Control_execution set to 1.
Dec 19 12:25:44 test kernel: [78480.070180] [TRACE_KVM] tracing enabled
Dec 19 12:25:44 test kernel: [78480.096759] 0, L1: 1.
Dec 19 12:25:44 test kernel: [78480.098155] 1, L1: 1.
Dec 19 12:25:44 test kernel: [78480.098731] 2, L1: 1.
Dec 19 12:25:44 test kernel: [78480.101573] 3, L1: 1.
Dec 19 12:25:44 test kernel: [78480.104854] 4, L1: 1.
Dec 19 12:25:44 test kernel: [78480.107482] 5, L1: 1.
Dec 19 12:25:44 test kernel: [78480.108919] 6, L1: 1.
Dec 19 12:25:44 test kernel: [78480.112277] 7, L1: 1.
Dec 19 12:25:44 test kernel: [78480.114436] 8, L1: 1.
Dec 19 12:25:44 test kernel: [78480.115722] 9, L1: 1.
Dec 19 12:25:44 test kernel: [78480.118542] 10, L1: 1.
Dec 19 12:25:44 test kernel: [78480.119175] 11, L1: 1.
Dec 19 12:25:44 test kernel: [78480.120852] 12, L1: 1.
Dec 19 12:25:44 test kernel: [78480.120886] 13, L1: 1.
Dec 19 12:25:44 test kernel: [78480.121173] 14, L1: 1.
Dec 19 12:25:44 test kernel: [78480.121559] 15, L1: 1.
Dec 19 12:25:44 test kernel: [78480.121593] 16, L1: 1.
Dec 19 12:25:44 test kernel: [78480.121697] 17, L1: 1.
Dec 19 12:25:44 test kernel: [78480.122616] 18, L1: 1.
Dec 19 12:25:44 test kernel: [78480.122686] 19, L1: 1.
